自然语言叙述模板 · 四类语法流成品组装（v2.2 更新）,,,,,,,,,,,,,,,,,,,,,,,,,
v2.2 变更：① 新增对话式图像模型行（GPT-4o / Gemini）；② 新增「角色一致性策略」列——自然语言系模型没有 --cref，一致性全靠锚点句逐字复用与参考图，要求最高；③ 排异机制改为「肯定式写死 > 否定式排除」；④ 去除对 T5/CLIP 无效的毫米级数值。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
模型分类 / 模式,应用场景,语法映射逻辑,中文连贯描述示例（南望·春日花园）,英文文本流输出,排异 / 负面处理机制,角色一致性策略（本列新增）,,,,,,,,,,,,,,,,,,,
"Flux / DALL-E 3 / SD3
（自然语言叙述流）",高质感立绘 / 复杂剧情分镜 / 复杂动作姿态,完整英语自然段，按【画面总览+景别】→【角色锚点】→【姿态微表情】→【光影色彩】→【背景层次】顺序；禁止权重括号与加号；锚点句置于角色段句首。,一张85mm人像景别平视镜头。16岁少女南望站在春日花园深处。她穿着浅青色棉质素裙，裙摆带有精致的白色雏菊暗纹。她的黑色长直发垂至腰间，发间别着一朵白色小雏菊。她左眼角下方有一颗极细小的淡褐色泪痣。她带着温和安静的表情看向镜头。金黄色的黄昏逆光勾勒出头发与服饰的暖光边框。前景是虚化的白色雏菊花丛，背景是微风拂过的花园围墙。,"An 85mm portrait shot at eye-level capturing a 16-year-old girl standing in the heart of a blooming spring garden. She is dressed in a light mint green plain cotton dress with delicate white daisy embroidery on the hem. Her black straight waist-length hair is softly adorned with a single small white daisy. A tiny, faint brown mole sits below her left eye corner. She looks gently toward the camera with a quiet, peaceful expression. Golden hour backlighting creates a warm, shimmering rim light around her hair and dress. Soft, out-of-focus white daisies frame the foreground, while a weathered garden wall and a soft breeze define the background.","无原生 Negative Prompt。首选【肯定式写死】：把正确项写具体（“dressed in a light mint green plain cotton dress” 已天然排除红裙/皮衣）；否定式仅在必要时兜底：without heavy makeup, no other hair accessories.",锚点句跨图逐字复用：泪痣句/裙装句每次原样粘贴，禁止同义改写；Flux 可配 Kontext/Redux 参考图固定形象（见【参考图能力矩阵】）。,,,,,,,,,,,,,,,,,,,
"GPT-4o image / Gemini 2.5 Flash Image（Nano Banana）
（对话式图像模型，v2.2 新增）",快速迭代 / 情绪特写 / 系列图 / 翻车现场修复,自然语言短句 + 对话式迭代：首轮给完整描述，后续直接用对话修改（“泪痣再细小一点”）；支持上传参考图并基于它继续编辑。,首轮：16岁少女南望，浅青色棉质素裙配白色雏菊暗纹，黑长直发及腰，左眼角极细小淡褐色泪痣，发间白色小雏菊，春日花园，黄昏逆光，85mm半身像。修正轮：泪痣再细小一点；裙子保持浅青色不要偏蓝。,"A 16-year-old girl in a light mint green dress with white daisy embroidery, black waist-length straight hair, a tiny faint brown mole under her left eye, one white daisy in her hair, standing in a spring garden at golden hour, 85mm half-body portrait. Follow-up: make the mole smaller and fainter; keep the dress mint green, not blue.",无负面词概念：直接在对话里排除（“不要红裙子”“不要浓妆”）；已出图可用参考图/选区局部修正，无需重写 prompt。,以首图/上一版为原生参考图锚定；每轮对话逐条确认锚点特征（泪痣、裙色、发饰），改动只动单点，不动锚点句。,,,,,,,,,,,,,,,,,,,
"Midjourney v6 / Niji v6
（混合语法 Tag + 参数流）",二次元插画 / 角色卡牌 / 快速概念方案,"核心锚点放前 20 token；中段叠加景别、光影；末尾统一追加 CLI 参数（--ar, --cref, --cw, --s, --niji）。",16岁少女南望，左眼角淡褐色泪痣，发间白色小雏菊，浅青色棉质素裙，黑色及腰长直发，三分法构图，85mm镜头，侧逆光，黄昏暖光，春日花园，浅景深。,"A 16yo girl Nanwang, faint brown mole under left eye, single white daisy in hair, light mint green plain dress, black waist-length straight hair, rule of thirds composition, 85mm portrait shot, side-backlighting, golden hour glow, spring garden, shallow depth of field --ar 3:4 --cref https://example.com/nanwang.png --cw 100 --style cute --niji 6","--no 只筛 4-5 个最高风险词：--no heavy makeup, red dress, short hair, dark lighting；其余靠 --cref 与正面描述兜底。",--cref + --cw 80-100 为第一手段；特征强调靠 token 前置与重复；锚点词保持英文拼写固定。,,,,,,,,,,,,,,,,,,,
"Stable Diffusion 1.5 / XL / SD3
（权重 Tag 流）",精准控制 / 局部重绘 / 工作流自动化批处理,逗号分隔 Tag，组装顺序（v2.2 补全）：身份锚点(1.5+) → 核心特征(1.3-1.5) → 姿态/构图 → 光影/氛围(0.7-0.9)；重要特征用 (tag:weight)。,"(16yo girl Nanwang:1.2), (mole under left eye:1.5), (single white daisy in hair:1.3), (light mint green plain dress:1.4), (black waist-length straight hair:1.2), rule of thirds, 85mm portrait shot, side-backlighting, golden hour, spring garden, soft bokeh, masterwork, high quality","(16yo girl Nanwang:1.2), (mole under left eye:1.5), (single white daisy in hair:1.3), (light mint green plain dress:1.4), (black waist-length straight hair:1.2), rule of thirds, 85mm portrait shot, side-backlighting, golden hour, spring garden, soft bokeh, masterwork, high quality","单独填 Negative Prompt 框：(deformed hands, bad anatomy, extra fingers, missing fingers:1.4), (mole under right eye, heavy makeup, red dress, short hair:1.3), (blurry, low quality, watermark, text:1.2)",角色 LoRA 为第一手段；无 LoRA 时锚点 tag 权重≥1.5 且置于列表最前。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
组装优先级总规则（全模型通用）：硬锚 → 核心特征 → 基准描述 → 氛围元素；自然语言系把「硬锚」落实为句首独立短句，MJ 落实为前 20 token，SD 落实为最高权重 tag。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
