Field,Instructions,Example (3-character scene),Negative prompts (exclude conflicts),Notes
Character count,Number of characters in the scene; 3+ requires this sheet,3 characters: Nanwang + Song Jiuning + background figure,Too many characters for the model's attention limit (SD ≤3; MJ ≤4 reliable),Beyond 5 characters use layered generation + composite
Spatial arrangement,Geometric pattern of character positions; choose one,Triangle: Nanwang front-left + Song Jiuning front-right + background figure center-rear,"Linear (boring composition), clustered (no depth), scattered (no relation)",Triangle is most stable for 3 characters; arc for 4; free for 5+
Relative position (per character),"Each character's position relative to the camera and to each other","Nanwang: front-left, closer to camera; Song Jiuning: front-right, same depth; background figure: center-rear, 2m behind","Position overlap, ambiguous depth, same-plane placement",Assign depth layer to each character before writing the prompt
Depth layering,Foreground / midground / background character assignment,Nanwang = foreground (1.2-1.4) + Song Jiuning = midground (1.0-1.2) + background figure = background (0.7-0.9),"All characters same depth (flat), foreground character blocking midground face",Weight = depth importance; higher weight = closer to camera
Line of sight chain,Who looks at whom; defines emotional dynamic,Nanwang looks at Song Jiuning + Song Jiuning looks at camera + background figure looks away,"Everyone looking at camera (static portrait feel), contradictory gaze (A→B but B→A→C impossible)",One directional flow per scene; avoid bidirectional gaze loops in 3+ characters
Interaction chain,Physical or emotional action between characters,Nanwang extends hand toward Song Jiuning + Song Jiuning turns away slightly + background figure watches,"Disconnected actions (no relation between characters), physical contact without setup",Chain must be A→B→C; never A→C skipping B
Occlusion rules,Who blocks whom; avoid face occlusion,Nanwang's shoulder partially blocks Song Jiuning's arm (not face) + background figure fully visible,"Face occlusion, hand covering another character's face, body merging","Rule: never occlude the face of any character; limbs and torso are OK to partially overlap"
Scale perspective,Near = larger, far = smaller; head-body ratio adjusted by depth,Nanwang 7-head (foreground) + Song Jiuning 6.5-head (midground, 10% smaller) + background figure 5-head (background, 30% smaller),"Same head-body ratio across all depths (breaks perspective), background figure too large",Check against AspectRatioBaselines; tolerance ≤10% between adjacent depth layers
Color separation,Each character's palette must be distinguishable at a glance,"Nanwang: mint green (primary) + Song Jiuning: gray-blue (primary) + background figure: warm earth tones","Two characters sharing the same primary color (visual merge), low-contrast palettes between adjacent characters",Primary colors must differ by ≥2 hue steps on the color wheel
Lighting priority,Single light source; nearest character gets strongest light,Nanwang: full golden-hour light + Song Jiuning: 70% light + background figure: 40% light,"Contradictory light directions, multiple light sources, shadow inconsistency",Nearest character casts shadow on farther characters if backlit
Focus strategy,Depth of field by character depth; foreground sharp + background soft,Nanwang: sharp focus + Song Jiuning: slight soft + background figure: blurred,"All characters sharp (flat feel), all characters blurred (no subject)",SD: use depth map; MJ: describe foreground as ""in sharp focus"" + background as ""softly blurred"""
