Panel role,Shot scale,Camera angle rule,Panel size,Dialogue type & placement,Scene transition,Prompt assembly rule,Continuity check,Common failure
Establishing / scene-setting,Wide or long shot,Eye level or high angle,Full-width or half-page,Narration box top-left,N/A,"[environment + time of day + weather + atmosphere]; no character focus; establish spatial layout",Verify environment details match across all subsequent panels of same scene,Character appears before scene is established
Character introduction,Medium shot or medium close-up,Eye level,Medium or large panel,Speech bubble near character mouth,Cut from establishing,"[anchor sentences verbatim] + [outfit] + [current expression] + [position in scene]",Verify all P0 anchors visible in first appearance,Anchor feature missing or altered on first appearance
Dialogue A to B,Over-the-shoulder or medium shot,30-degree rule; respect 180-degree axis,Medium panel,Speech bubble near speaker A; tail points to A,Cut,"[speaker A anchor] + [A expression] + [A gaze direction toward B] + [dialogue]",Verify eyeline: A looks toward B's position; B is on the correct side per 180-degree rule,Reversed spatial relationship (A left becomes A right without motivation)
Dialogue B to A,Over-the-shoulder reverse or medium shot,30-degree rule; mirror angle of previous panel,Medium panel,Speech bubble near speaker B; tail points to B,Match cut or cut,"[speaker B anchor] + [B expression] + [B gaze direction toward A] + [dialogue]",Verify eyeline: B looks toward A; A on correct side; background consistent with previous panel,Same camera angle as previous panel (violates 30-degree rule)
Action beat,Close-up or medium close-up,Dynamic angle (low/high/tilted),Small or medium panel,SFX text near action source; no speech bubble,Cut,"[body part in motion] + [motion direction] + [force] + [blur level]; anchor identity not required if only hand/foot shown",Verify motion direction consistent with previous panel's setup; verify character identity if face visible,Motion direction contradicts previous panel setup; wrong character's limb shown
Reaction shot,Close-up,Eye level,Small or medium panel,Internal monologue bubble (cloud shape) or no dialogue,Cut,"[anchor identity] + [reaction expression] + [tear/sweat/blush detail if applicable] + [shoulder tension]",Verify emotional beat matches story context; verify anchor features intact,Over-the-top expression inconsistent with character temperament
Emotional close-up,Extreme close-up (eyes or hands),Any,Small panel,None or minimal SFX,N/A,"[single body detail: eyes / hands / object]; anchor not required; focus on micro-expression or object detail",Verify detail belongs to correct character; verify consistency with character's color palette,Wrong character detail shown (e.g. wrong eye color or hand)
Scene transition,Wide or establishing,High angle or aerial,Full-width panel,Narration box bottom,Fade or match cut or wipe,"[new environment + new time + new weather]; anchor sentences only if character present",Verify scene change is visually clear; verify time-of-day lighting matches stated time,Ambiguous transition; old and new scene look similar
Climax splash,Full shot or wide,Dramatic angle (extreme low or high),Full page or double-page spread,Minimal or no dialogue; single impact line if any,N/A,"[all P0 anchors verbatim] + [dramatic lighting] + [peak action pose] + [environment reacting to action]; maximum detail",Verify every P0 anchor present; verify all character positions match spatial layout; verify lighting direction single-source,Missing anchor in climax panel; conflicting light sources; character position violates spatial layout
Resolution / ending,Medium shot,Eye level,Medium or large panel,Narration or final speech bubble centered,Cut or fade-out,"[anchor identity] + [calm/resolved expression] + [environment showing closure: sunset / empty room / peaceful scenery]",Verify emotional closure matches story arc; verify anchor features intact; verify environment shows time passage,Unresolved plot threads visible in panel; anchor features altered
Camera continuity: 180-degree rule,N/A — applies to all dialogue panels,Characters maintain fixed left-right spatial relationship across all cuts; camera stays on one side of the axis,N/A,N/A,N/A,N/A,Verify character A stays on same side throughout scene unless a motivated camera move crosses the axis,Crossing the axis without a neutral shot or camera movement to re-establish
Camera continuity: 30-degree rule,N/A — applies to consecutive shots of same subject,Consecutive shots of same subject must differ by at least 30 degrees in angle; same angle = jump cut,N/A,N/A,N/A,N/A,Verify angle change between consecutive panels showing same character,Jump cut: same angle in consecutive panels feels like a glitch
Eyeline match,N/A — applies to dialogue and reaction panels,Character A looks screen-right → next panel: character B is on screen-right; gaze direction must connect across cut,N/A,N/A,N/A,N/A,Verify A gaze direction matches B position in next panel,A looks right but B appears on left in next panel (violates eyeline match)
Page layout: 4-panel grid,Varies by panel role,Reading order: top-left to top-right to bottom-left to bottom-right,2 rows x 2 columns; balanced or varied sizes,N/A,N/A,"Panel 1: establishing/setup; Panel 2: development; Panel 3: twist/turn; Panel 4: punchline/resolution",Verify reading flow is clear; verify panel sizes reflect narrative importance,Panel sizes too uniform (kills rhythm); reading order ambiguous
Page layout: 6-panel grid,Varies by panel role,"Reading order: top row L-to-R then bottom row L-to-R (manga) or top-to-bottom then right (traditional Chinese manga)",3 rows x 2 columns or 2 rows x 3 columns; one panel may be larger,N/A,N/A,"Panels 1-2: scene + character intro; Panels 3-4: dialogue/exchange; Panel 5: action/twist; Panel 6: reaction/resolution",Verify larger panel is the narrative focus; verify gutter widths consistent,Too many small panels (visual clutter); no clear focus panel
Page layout: cinematic strip,Varies by panel role,Reading order: left to right (Western) or right to left (Japanese manga),Horizontal rectangular panels of equal or varied width,N/A,N/A,"Each panel = one beat; strip = one continuous scene; vary panel width to control pacing (wide = slow, narrow = fast)",Verify horizontal continuity of background and character positions across panels,Background elements jump between panels; character position inconsistent across strip
Page layout: splash page,Full shot or wide,Any dramatic angle,Single panel fills entire page,None or single narration line,N/A,"Single high-impact image: all anchors + peak moment + maximum environmental detail; treat as a poster within the story",Verify this is a genuine story peak (not used casually); verify all P0 anchors present,Using splash page for non-climactic moment; too many splash pages in sequence kills pacing
