AI绘画构图细节模板 · 权重与比例精确控制版 v2.2 · 全模型通用版,,,,,,,,,,,,,,,,,,,,,,,,,
定位：单角色/多角色图像生成的质量控制工作台，覆盖自然语言流（Flux/DALL-E 3/SD3）、对话式图像模型（GPT-4o/Gemini）、MJ/Niji、SD 四类语法。v2.2 在 v2.1 基础上新增：对话式模型行、肯定式排异策略、权重→叙述强度映射表、参考图能力矩阵、锚点复用 P0 校验。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
① 使用流程（每轮生成走一遍）,,,,,,,,,,,,,,,,,,,,,,,,,
步骤,动作,对应工作表,要点,,,,,,,,,,,,,,,,,,,,,,
1,填写/确认角色锚点与形象版本,角色锚点,锚点权重≥1.6，禁止替换,,,,,,,,,,,,,,,,,,,,,,
2,配置构图、镜头、光影、分层、姿态,构图与镜头,从参考表选构图类型并套用句式模板,,,,,,,,,,,,,,,,,,,,,,
3,确定所用模型的参考图手段与一致性策略,参考图能力矩阵,DALL-E 3 无参考图，锚点句逐字复用,,,,,,,,,,,,,,,,,,,,,,
4,按模型语法组装成品提示词,自然语言叙述模板,自然语言流/对话式/MJ/SD 语法各不相同,,,,,,,,,,,,,,,,,,,,,,
5,生成 → 校验 → 记录迭代日志,校验清单 / 生成迭代日志,P0 不通过必须重生成,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
② 权重语义总表（SD/MJ 数值体系基准）,,,,,,,,,,,,,,,,,,,,,,,,,
权重区间,语义,适用对象,示例,对应操作,,,,,,,,,,,,,,,,,,,,,
1.6 - 2.0,硬锚：绝对不可变,身份锚点 / 标志性特征,左眼角泪痣 (1.8),全部场景强制保留，进负面词排除对立面,,,,,,,,,,,,,,,,,,,,,
1.3 - 1.5,核心特征：全场景保留,面部 / 发型 / 服饰核心,浅青色棉质素裙 (1.4),跨场景一致性基准，校验 P0,,,,,,,,,,,,,,,,,,,,,
1.0 - 1.2,基准特征：默认强度,自然语言主描述 / 辅助元素,气质柔和安静 (1.0),随场景微调，波动≤0.2,,,,,,,,,,,,,,,,,,,,,
0.7 - 0.9,氛围辅助：可随场景调整,场景元素 / 装饰 / 天气,春日花园 (0.8),场景更换时可替换,,,,,,,,,,,,,,,,,,,,,
<0.7,弱提示：易被模型忽略,次要修饰,微风 (0.5),仅作氛围补充，不可承载关键信息,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
③ 权重→叙述强度映射表（v2.2 新增：自然语言系模型没有数值权重，按此表表达）,,,,,,,,,,,,,,,,,,,,,,,,,
数值权重,语义,自然语言模型的表达方式,MJ/Niji 的表达,描述精度要求,,,,,,,,,,,,,,,,,,,,,
1.6 - 2.0,硬锚：绝对不可变,独立短句 + 句首优先 + 高精度描述（位置/材质/相对量词）,前 10 token + 重复关键词,必须具体到可画：细小的 / 发间 / 左眼角下方,,,,,,,,,,,,,,,,,,,,,
1.3 - 1.5,核心特征：全场景保留,独立短句，置于角色描述段前部,前 20 token,具体可画，禁止抽象形容词,,,,,,,,,,,,,,,,,,,,,
1.0 - 1.2,基准特征：默认强度,常规从句，随主句自然带出,中段,一般描述即可,,,,,,,,,,,,,,,,,,,,,
0.7 - 0.9,氛围辅助：可随场景调整,环境句放在整段末尾,中后段,关键词即可,,,,,,,,,,,,,,,,,,,,,
<0.7,弱提示：可忽略,不写,不写,—,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
④ 校验优先级（P0 硬性 / P1 建议 / P2 可选）,,,,,,,,,,,,,,,,,,,,,,,,,
