生成结果校验清单（P0/P1/P2 分级）,,,,,,,,,,,,,,,,,,,,,,,,,
v2.2 新增两项：P0「锚点描述复用」（自然语言系模型唯一一致性保障）与 P1「参考图启用」。P0 任一不通过即废图重生成。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
优先级,校验项,校验标准,通过阈值,结果,失败修复指引,,,,,,,,,,,,,,,,,,,,
P0,身份锚点保留,泪痣、发饰、身份设定 100% 匹配,权重≥1.6,✅/❌,上调锚点权重 / 补 --cref / 换 seed,,,,,,,,,,,,,,,,,,,,
P0,核心特征保留,面部、发型、服饰核心元素 100% 保留,权重≥1.3,✅/❌,上调核心特征权重 / 加参考图,,,,,,,,,,,,,,,,,,,,
P0,锚点描述复用（新增）,自然语言系模型的锚点句与【角色锚点】逐字一致,禁止同义改写,✅/❌,删除改写句，原样复制锚点句,,,,,,,,,,,,,,,,,,,,
P0,负面词覆盖,所有冲突特征已纳入负面词列表,无遗漏,✅/❌,对照【负面词库】逐类补全,,,,,,,,,,,,,,,,,,,,
P1,参考图启用（新增）,已启用该模型的参考图手段（--cref / 原生参考 / LoRA）,已启用,✅/❌,按【参考图能力矩阵】选择手段,,,,,,,,,,,,,,,,,,,,
P1,气质匹配度,无违和表情、动态、场景元素,负面词权重≥1.0,✅/❌,气质描述前置 + 补气质负面词,,,,,,,,,,,,,,,,,,,,
P1,权重逻辑合规,主描述权重 0-2 区间，核心>辅助,无越界,✅/❌,对照权重语义总表修正,,,,,,,,,,,,,,,,,,,,
P1,比例参数合规,头身比、肢体长度符合版本基准,误差≤5%,✅/❌,查【比例基准表】+ 降 --stylize,,,,,,,,,,,,,,,,,,,,
P1,画幅匹配,画幅比例与用途一致,与配置一致,✅/❌,改 --ar / 构图重排,,,,,,,,,,,,,,,,,,,,
P2,层级正确,前景/中景/背景无错位穿模,分层权重匹配,✅/❌,调整分层描述与遮挡关系,,,,,,,,,,,,,,,,,,,,
P2,留白合规,主体未遮挡预留留白区域,无遮挡,✅/❌,改留白构图 / 主体移边,,,,,,,,,,,,,,,,,,,,
P2,色彩无冲突,场景+角色配色无违和色,无色彩冲突,✅/❌,补色板正面词 + 色彩负面词,,,,,,,,,,,,,,,,,,,,
P2,光影一致,光源方向与描述一致，无矛盾投影,单一光源,✅/❌,统一光源方向/类型描述,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
