模型参数 · 参考锚定 · 跨模型适配,,,,,,,,,,,,,,,,,,,,,,,,,
参考图是跨会话角色一致性的主手段，权重与负面词只是兜底；各模型参考图能力见【参考图能力矩阵】分页。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
A. 生成配置（填写区）,,,,,,,,,,,,,,,,,,,,,,,,,
字段,说明,示例,备注,,,,,,,,,,,,,,,,,,,,,,
推荐模型,按角色风格选择最优模型,Niji V6（二次元角色）,写实用 SDXL / Flux,,,,,,,,,,,,,,,,,,,,,,
模型专属参数,对应模型的特殊参数,Niji V6：--style cute --niji 6,—,,,,,,,,,,,,,,,,,,,,,,
--ar 画幅,与【构图与镜头】标准比例一致,--ar 3:4,头像1:1 分镜16:9,,,,,,,,,,,,,,,,,,,,,,
--stylize,艺术化强度，越高特征越漂移,--s 100（中低）,角色一致性用 ≤100,,,,,,,,,,,,,,,,,,,,,,
--chaos,构图变化度，复现需求时置低,--chaos 5,探索构图可用 30-50,,,,,,,,,,,,,,,,,,,,,,
--seed,固定构图的关键，必须记录,Seed: 20260807,写进迭代日志,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
B. 参考锚定（填写区）,,,,,,,,,,,,,,,,,,,,,,,,,
字段,说明,示例,备注,,,,,,,,,,,,,,,,,,,,,,
参考图 URL,角色形象基准图,https://…/nanwang_v12.png,越接近目标版本越好,,,,,,,,,,,,,,,,,,,,,,
--cref（MJ角色参考）,角色一致性核心参数，配 --cw 控制强度,--cref URL --cw 100,人像建议 80-100,,,,,,,,,,,,,,,,,,,,,,
--sref（风格参考）,风格一致性参数,--sref URL,画面风格漂移时使用,,,,,,,,,,,,,,,,,,,,,,
Flux Kontext/Redux,自然语言流的原生参考图方案,Flux Kontext + 基准图,Kontext 参考 / Redux 变体,,,,,,,,,,,,,,,,,,,,,,
对话式模型参考图,GPT-4o / Gemini 上传首图或上一版作为锚,首图作为锚，对话修正,翻车直接对话修复,,,,,,,,,,,,,,,,,,,,,,
seed 策略,沿用 / 新随机,沿用 20260807,迭代微调时沿用 seed,,,,,,,,,,,,,,,,,,,,,,
放大 / 修复工具,出图后处理流程,Upscale 2x → 局部重绘修手,手部翻车走这里,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
C. 跨模型语法对照表（五类语法流）,,,,,,,,,,,,,,,,,,,,,,,,,
功能,MJ / Niji 写法,SD 写法,自然语言系（Flux/DALL-E/GPT-4o/Gemini）,国产 API 系（即梦/可灵/豆包/通义万相）,,,,,,,,,,,,,,,,,,,,,,
强调特征,放句首 + 重复关键词,(keyword:1.3),独立短句置角色段句首 + 高精度描述,中文关键词前置 + 重复,,,,,,,,,,,,,,,,,,,,,,
弱化特征,放句尾,[keyword:0.8],移后或删去,并入从句或删去,,,,,,,,,,,,,,,,,,,,,,
负面排除,"--no word1,word2（限4-6短词）",负面提示词框（可长列表）,肯定式写死为主，否定式兜底,肯定式写死为主；负面词支持以官方文档为准,,,,,,,,,,,,,,,,,,,,,,
角色参考,--cref URL --cw 0-100,LoRA + ref img + 权重,原生参考图（Flux Kontext / GPT-4o / Gemini）；DALL-E 3 无,参考图支持以官方文档为准（部分支持）,,,,,,,,,,,,,,,,,,,,,,
风格参考,--sref URL,风格 LoRA,风格参考图 / 风格描述句,风格参考图 / 风格描述,,,,,,,,,,,,,,,,,,,,,,
画幅,--ar 3:4,--w 768 --h 1024,API 参数 aspect_ratio / size,API 参数（aspect_ratio / size）,,,,,,,,,,,,,,,,,,,,,,
迭代修复,换 seed / 重写,局部重绘 inpaint,对话式直接修正（最强优势）,局部重绘（能力以官方文档为准）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
D. 参数联动规则表,,,,,,,,,,,,,,,,,,,,,,,,,
参数变化,联动影响,操作建议,,,,,,,,,,,,,,,,,,,,,,,
--stylize 升高,画面更艺术化，但角色特征漂移,特征权重同步上调 0.2-0.3,,,,,,,,,,,,,,,,,,,,,,,
--ar 拉宽,构图自动铺展，留白与主体占比变化,主体词补充「位于左侧/右侧」定位,,,,,,,,,,,,,,,,,,,,,,,
--chaos 升高,构图变化大，难以复现,需要复现时保持 chaos 0-5,,,,,,,,,,,,,,,,,,,,,,,
--cw 升高,cref 特征强但姿势自由度低,人像 80-100；需要多变姿势用 30-50,,,,,,,,,,,,,,,,,,,,,,,
