负面提示词分类库 + 失败模式→修复映射,,,,,,,,,,,,,,,,,,,,,,,,,
每个分类含「失败模式→修复动作」列。组装规则：SD 全量拼接；MJ 只挑 4-6 个最高权重词进 --no；自然语言系改为肯定式写死（见【自然语言叙述模板】）。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
分类,填写说明,示例（南望·花园版）,权重,失败模式 → 修复动作,,,,,,,,,,,,,,,,,,,,,
特征冲突类,排除与角色核心特质完全矛盾的特征,"右眼角泪痣, 浓妆, 眼型锐利, 深色唇釉, 短发, 染发, 夸张发饰, 红色裙子, 皮衣, 服饰破洞, 攻击性肢体, 大笑表情, 狰狞表情",1.2,泪痣消失/移位 → 上调特征权重≥1.6 + 补 --cref；服饰被替换 → 权重上调 + 加细节词,,,,,,,,,,,,,,,,,,,,,
比例畸形类,排除肢体、五官比例问题,"四肢畸形, 手指多余, 手指缺失, 手指粘连, 瞳孔大小不一, 五官歪斜, 头身比失调, 腿部过长, 手臂过短",1.3,手指翻车 → 加手部专项负面词 + 降 --stylize + 局部重绘；头身比失调 → 对照【比例基准表】修正版本头身比词,,,,,,,,,,,,,,,,,,,,,
气质违和类,排除与核心气质完全不符的氛围元素,"吵闹场景, 暗黑氛围, 血腥元素, 机械元素, 赛博元素, 大幅度奔跑, 攻击性动作",1.1,气质漂移（哭脸/大笑）→ 气质描述词提前到句首 + 补气质负面词,,,,,,,,,,,,,,,,,,,,,
服饰错位类,排除服饰替换、分层错误,"内层外穿, 外层内搭, 裙摆无暗纹, 配饰缺失, 服饰混搭, 素裙变礼服, 鞋袜不匹配",1.2,服饰分层错误 → 服饰描述拆为单句置前 + 补「整体一件式/正确层次」正面词,,,,,,,,,,,,,,,,,,,,,
场景冲突类,排除与当前场景设定矛盾的元素,"飘雪, 冰面, 室内场景, 城市建筑, 现代科技产品, 工业元素",0.9,场景错乱 → 场景主描述提到中景层，权重 ≥0.9,,,,,,,,,,,,,,,,,,,,,
色彩冲突类,排除与场景+角色配色冲突的颜色,"大面积黑色, 荧光色, 高饱和橙色, 红色占比超10%",1,配色翻车 → 补【角色锚点】色板正面词（主色/辅助/强调）+ 色彩负面词,,,,,,,,,,,,,,,,,,,,,
画质问题类,排除常见生成画质缺陷,"模糊, 噪点, 马赛克, 分辨率低, 画面撕裂, 水印, 签名, 文字乱码",0.8,"画质差 → 换高分辨率模型 / 放大修复工具；水印 → 加「no watermark, no text」",,,,,,,,,,,,,,,,,,,,,
手部细节类,手部专项，翻车重灾区单列,"六指, 手指弯曲方向错误, 手指粗细不均, 手腕异常, 手掌过大",1.3,手部翻车 → 局部重绘 + 手部 LoRA（SD）/ 手部负面词（MJ 效果有限）,,,,,,,,,,,,,,,,,,,,,
光影错误类,光源矛盾、投影错误,"多重阴影, 光源方向矛盾, 面部过曝, 无投影",1,光影矛盾 → 统一【构图与镜头】光源方向/类型，只保留单一光源描述,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
自然语言系模型（Flux/DALL-E/GPT-4o/Gemini）：本表列出的排除项不应以「不要X」形式直译进 prompt，应转换为对应特征的肯定式写法（例如「红色裙子」→ 裙装句写死浅青色棉质）。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
