Check category,Check item,Severity,When to check,What to verify,Verification method,Pass criteria,Fail criteria,Fix protocol
Character identity,Same character across all panels,P0,After every generation batch,All P0 anchors (face shape / eye color / hairstyle / skin tone / outfit) match reference sheet,Side-by-side comparison of generated panels with reference sheet,100% of P0 anchors visible and matching in every panel where character appears,Any P0 anchor missing or altered (different hairstyle / wrong eye color / outfit changed),Re-generate panel with anchor sentence verbatim + add "same character as panel [reference panel number]" to prompt
Character identity,Outfit consistency,P1,After every generation batch,Outfit details (style / color / accessories / damage state) match first appearance,Visual scan across all panels,Outfit identical to first appearance unless story explicitly requires change (e.g. battle damage),Outfit changes without story motivation (e.g. color shifts / accessories appear/disappear),Add outfit description verbatim to prompt; use "wearing [exact outfit description]" in every panel prompt
Character identity,Prop consistency,P1,After every generation batch,Props (weapon / accessory / held item) match first appearance and maintain correct handedness,Visual scan across all panels,Props present when story requires; correct hand; correct orientation,Prop switches hands; orientation flips (e.g. sword hilt left then right); prop disappears/reappears without motivation,"Add prop description to prompt; specify 'holding in left hand' or 'on back'; reference first appearance panel"
Spatial continuity,Left-right position,P0,After dialogue/action sequences,Character A and B maintain fixed left-right relationship per 180-degree rule,Panel sequence review: trace A and B positions across consecutive panels,A stays on same side (e.g. left) throughout scene unless motivated camera move crosses axis,A appears on left then right without axis-crossing shot,Insert neutral shot or camera-move panel to re-establish axis; or re-generate offending panel with corrected positioning
Spatial continuity,Depth layering,P1,After every generation batch,Characters and background maintain consistent depth order (foreground / midground / background),Visual scan: check which layer each element occupies,Depth order matches spatial layout established in establishing panel; no character jumps from background to foreground without motion,Character depth changes without motion (e.g. appears in background then suddenly foreground in next panel),Add "[character] in [depth layer]" to prompt; verify against establishing panel
Spatial continuity,Background continuity,P0,After establishing panel and scene transitions,Environment elements (skyline / furniture / landmarks / lighting direction) match across all panels of same scene,Side-by-side comparison of establishing panel with subsequent panels,All environmental elements consistent unless scene explicitly changes,Background elements shift (e.g. window on left becomes window on right); lighting direction flips,"Reference establishing panel in prompt: 'same environment as panel 1'; add 'lighting from [direction]' to every panel"
Temporal continuity,Time of day,P1,After every generation batch,Lighting and sky match stated time of day (morning / noon / evening / night),Color temperature check: morning = warm yellow; noon = white; evening = orange-red; night = blue-purple,Lighting color matches time; shadows direction and length consistent with sun position,Lighting contradicts time (e.g. bright noon sunlight at night scene); shadows direction inconsistent,"Add 'time of day: [X]' and 'lighting: [color temperature]' to every panel prompt; reference establishing panel"
Temporal continuity,Season / weather,P2,After establishing panel and scene transitions,Weather effects (rain / snow / wind) and season indicators (foliage / clothing thickness) consistent,Visual scan and prompt review,Weather effects persist throughout scene unless story explicitly changes season/weather,Rain starts/stops without transition; character wears winter coat in summer scene without explanation,Add weather and season descriptors to establishing panel prompt; carry forward to all panels in scene
Action continuity,Motion direction,P0,After action sequences,Character motion (movement / attack / gesture) direction consistent across consecutive panels,Panel sequence review: trace motion vector from panel to panel,Motion direction unchanged or logically motivated (e.g. character turns around between panels),Motion contradicts previous panel (e.g. running left then suddenly running right without turning),Add "motion direction: [vector]" to action panel prompts; verify against previous panel
Action continuity,Action-to-reaction causality,P1,After action + reaction sequences,Reaction panel logically follows action panel (cause -> effect),Story logic review: does reaction make sense given the action?,Reaction matches action intensity and type (e.g. punch -> pain / dodge -> relief),Reaction mismatches action (e.g. gentle tap -> extreme overreaction; heavy blow -> no reaction),Adjust reaction panel prompt to match action intensity; add "reacting to [previous action]"
Expression continuity,Emotional arc,P1,After every dialogue/reaction sequence,Character expression transitions logically across emotional beats (e.g. calm -> surprise -> anger -> resolution),Emotion timeline review: map each panel's expression to story beat,Expression progression follows natural emotional logic; no jarring jumps (e.g. laughing -> crying without intermediate panel),Expression jumps unnaturally (e.g. neutral -> sobbing in one panel without trigger),Insert intermediate expression panel or adjust prompt with "transitioning from [emotion A] to [emotion B]"
Expression continuity,Micro-expression details,P2,After close-up panels,Tears / sweat / blush / veins / eye shine appear and disappear consistently,Visual scan of close-up panels,Micro-details match emotional state; appear when logically triggered and persist appropriately,Tears appear then vanish without drying; blush on one cheek only; inconsistent eye shine,Add micro-detail to prompt with timing instruction: "tears forming" / "tears streaming" / "tears drying"; verify against emotional arc
Costume & prop continuity,Damage state,P1,After battle/action sequences,Costume / prop damage (tears / burns / blood / dents) accumulates logically and persists,Panel-by-panel damage audit,Damage appears after cause panel and persists until repair; no healing without story reason,Costume tears then repairs itself; blood disappears; weapon damage vanishes,Add damage state to prompt: "costume torn at left shoulder from panel 3"; carry forward
Costume & prop continuity,Item inventory,P2,After every scene,Items held / worn / carried match inventory established in scene,Inventory tracking across panels,All items accounted for; no new items appear without introduction; no items lost without explanation,Character pulls out item never seen before; item disappears without being dropped or stored,Track inventory in panel notes; add "holding [item]" or "with [item] on belt" to prompts
