角色锚点 · 形象版本管理,,,,,,,,,,,,,,,,,,,,,,,,,
一个角色可有多个形象版本（素裙花园版 / 冬装版 / 战斗版…），每个版本一行；衍生版本必须引用主版本并标注差异点。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
A. 填写区（南望·素裙花园版 与 宋玖凝·清冷疏离版 示例）,,,,,,,,,,,,,,,,,,,,,,,,,
字段,填写说明,南望 · 素裙花园版 v1.2,宋玖凝 · 清冷疏离版 v1.0,,,,,,,,,,,,,,,,,,,,,,
角色名 / 版本标签,角色名 + 形象版本名 + 版本号,南望 · 素裙花园版 v1.2,宋玖凝 · 清冷疏离版 v1.0,,,,,,,,,,,,,,,,,,,,,,
主版本引用,衍生版本填来源版本，主版本填「—」,—（主版本）,—（主版本）,,,,,,,,,,,,,,,,,,,,,,
与主版本差异点,衍生版本与主版本的改动项,—,—,,,,,,,,,,,,,,,,,,,,,,
核心身份锚点 (≥1.6),最不可变更的核心设定，全部场景强制保留，禁止替换,16岁少女，左眼角1mm淡褐色泪痣，发间常别白色小雏菊 (1.8),清冷疏离，眼尾微垂自带悲感 (1.6),,,,,,,,,,,,,,,,,,,,,,
核心气质标签 (≥1.3),角色整体氛围基调，负面提示词优先排除冲突气质,柔和安静，微怯生，肢体语言收敛 (1.3),疏离克制，悲感内敛，笑不达眼底 (1.3),,,,,,,,,,,,,,,,,,,,,,
适用场景用途,本次生成的场景分类，匹配对应校验规则,单人立绘 / 花园场景特写 / 分镜叙事插画,双人互动 / 情绪特写 / 剧情分镜,,,,,,,,,,,,,,,,,,,,,,
自然语言主描述 (1.0),整合核心特质、气质、场景的基础描述句，0-2区间,16岁少女南望站在春日花园中，穿浅青色素裙，左眼角有淡褐色泪痣，发间别着白色小雏菊，气质柔和安静 (1.0),黑色长直发及腰、发尾微卷的少女，神情清冷疏离，眼尾微垂自带悲感，肢体语言收敛克制 (1.0),,,,,,,,,,,,,,,,,,,,,,
色彩方案 · 主色,画面最大面积色,浅青色 #A8D8C9,冷白 / 黑（发）,,,,,,,,,,,,,,,,,,,,,,
色彩方案 · 辅助色,次大面积色,白色（雏菊、裙摆暗纹）,灰蓝（衣袍）,,,,,,,,,,,,,,,,,,,,,,
色彩方案 · 强调色,小面积高识别色,淡褐（泪痣）、浅粉（唇）,无彩色点缀,,,,,,,,,,,,,,,,,,,,,,
肤色 / 发色 / 瞳色,写清三色，避免 AI 混色,暖白肤色 / 黑发 / 深褐瞳,冷白肤色 / 黑发 / 墨黑瞳,,,,,,,,,,,,,,,,,,,,,,
配色风格,整体配色风格关键词,低饱和莫兰迪 × 日系淡彩,高对比低饱和冷调,,,,,,,,,,,,,,,,,,,,,,
标志性道具,场景复用道具，需写进正面与负面词,白色小雏菊（发间）,无多余发饰,,,,,,,,,,,,,,,,,,,,,,
使用限制（负面锚定）,禁止出现的整体方向,禁止红色系 / 深色系 / 华丽礼服,禁止甜美系 / 鲜艳配色 / 夸张配饰,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
B. 新增角色时复制本表结构，新增形象版本时追加一行并填版本引用,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
