构图 · 镜头 · 光影 · 分层 · 姿态（本次生成配置）,,,,,,,,,,,,,,,,,,,,,,,,,
构图类型从下方参考表选择并套用句式模板；其余字段逐项填写，光影与姿态缺失是 v1 出图「情绪不对」的主要根因。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
A. 本次配置填写区,,,,,,,,,,,,,,,,,,,,,,,,,
维度,可选值 / 说明,本次选择（示例）,负面词（排除冲突）,备注,,,,,,,,,,,,,,,,,,,,,
标准比例,按用途选画幅，校验需核对匹配,单人立绘 3:4,—,头像1:1 / 分镜16:9,,,,,,,,,,,,,,,,,,,,,
构图类型,从参考表 B 选择,三分法构图,"主体居中僵硬, 边缘裁切",见参考表 B,,,,,,,,,,,,,,,,,,,,,
机位,仰视 / 平视 / 俯视 / 低角度,平视,"俯视透视, 仰视透视",仰视显气场，俯视显弱小,,,,,,,,,,,,,,,,,,,,,
景别,特写 / 近景 / 中景 / 全景 / 远景,中景（半身）,"远景特写混淆, 裁切头部",情绪戏用特写,,,,,,,,,,,,,,,,,,,,,
焦段,35mm / 50mm / 85mm / 微距,85mm 人像,"广角畸变, 桶形畸变",85mm 最利于人像,,,,,,,,,,,,,,,,,,,,,
景深,浅景深 / 深景深,浅景深,"背景过度清晰, 虚化不均",浅景深突出主体,,,,,,,,,,,,,,,,,,,,,
光源方向,顺光 / 侧光 / 逆光 / 顶光,侧逆光,"多重阴影, 光源方向矛盾",逆光需补发丝光,,,,,,,,,,,,,,,,,,,,,
光源类型,自然光 / 烛光 / 月光 / 霓虹…,自然日光,人造光源混杂,单一光源更稳定,,,,,,,,,,,,,,,,,,,,,
色温 / 时间,golden hour / blue hour / 正午…,golden hour（黄昏暖光）,"冷白日光灯感, 阴天灰蒙",golden hour 情绪最稳,,,,,,,,,,,,,,,,,,,,,
天气,晴 / 多云 / 雨 / 雪 / 雾,晴朗,"阴雨, 飘雪, 起雾",天气与场景冲突类联动,,,,,,,,,,,,,,,,,,,,,
前景层,主体前方的元素，权重 0.5-0.8,虚化的雏菊花丛 (0.7),前景杂物遮挡面部,前景增强纵深,,,,,,,,,,,,,,,,,,,,,
中景层（主体）,角色所在层，权重 1.0-1.4,南望立于花丛间 (1.2),前景背景抢主体,主体层是锚点层,,,,,,,,,,,,,,,,,,,,,
背景层,环境元素，权重 0.7-0.9,春日花园围墙与天空 (0.8),"背景杂乱, 元素堆砌",背景描述克制,,,,,,,,,,,,,,,,,,,,,
遮挡关系,各层前后关系，避免层级错位,前景花丛遮裙摆下部，不遮脸,"花丛遮脸, 层级穿模",校验项「层级正确」依据,,,,,,,,,,,,,,,,,,,,,
姿态,站 / 坐 / 跑 / 跪 / 倚靠…,微微侧身站立,"大幅度奔跑, 攻击性动作",与气质违和类联动,,,,,,,,,,,,,,,,,,,,,
重心 / 手势,重心位置、手部动作,重心在右腿，双手自然垂落,"手势怪异, 握拳, 叉腰",手部细节类联动,,,,,,,,,,,,,,,,,,,,,
视线方向,看向镜头 / 侧视 / 低垂…,视线微微低垂,"直视镜头, 翻白眼",视线决定情绪,,,,,,,,,,,,,,,,,,,,,
衣袂动态,风吹方向、飘动程度,裙摆随风轻扬（方向右）,"衣袂静止, 暴风狂舞",与风向一致,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
B. 构图类型参考表（套用句式模板，避免空写「三分法」三个字）,,,,,,,,,,,,,,,,,,,,,,,,,
构图类型,适用场景,描述句式模板,负面词,常见失败,,,,,,,,,,,,,,,,,,,,,
